name,party,district_info,chamber,source,official_profile_url,last_updated
Jaime Fresnedi,,Muntinlupa at-large,house,wikipedia,NA,2026-08-25
Toby Tiangco,,Navotas at-large,house,wikipedia,NA,2026-08-25
Jules Ledesma,,Negros Occidental–1st,house,wikipedia,NA,2026-08-25
Alfredo Marañon III,,Negros Occidental–2nd,house,wikipedia,NA,2026-08-25
Javi Benitez,,Negros Occidental–3rd,house,wikipedia,NA,2026-08-25
Jeffrey Ferrer,,Negros Occidental–4th,house,wikipedia,NA,2026-08-25
Dino Yulo,,Negros Occidental–5th,house,wikipedia,NA,2026-08-25
Mercedes Alvarez–Lansang,,Negros Occidental–6th,house,wikipedia,NA,2026-08-25
Emmanuel Iway,,Negros Oriental–1st,house,wikipedia,NA,2026-08-25
Maisa Sagarbarria,,Negros Oriental–2nd,house,wikipedia,NA,2026-08-25
Janice Degamo,,Negros Oriental–3rd,house,wikipedia,NA,2026-08-25
Niko Raul Daza,,Northern Samar–1st,house,wikipedia,NA,2026-08-25
Edwin Ongchuan,,Northern Samar–2nd,house,wikipedia,NA,2026-08-25
Mika Suansing,,Nueva Ecija–1st,house,wikipedia,NA,2026-08-25
Kokoy Salvador,,Nueva Ecija–2nd,house,wikipedia,NA,2026-08-25
Jay Vergara,,Nueva Ecija–3rd,house,wikipedia,NA,2026-08-25
Emerson Pascual,,Nueva Ecija–4th,house,wikipedia,NA,2026-08-25
Tim Cayton,,Nueva Vizcaya at-large,house,wikipedia,NA,2026-08-25
Leody Tarriela,,Occidental Mindoro at-large,house,wikipedia,NA,2026-08-25
Arnan Panaligan,,Oriental Mindoro–1st,house,wikipedia,NA,2026-08-25
Alfonso Umali Jr.,,Oriental Mindoro–2nd,house,wikipedia,NA,2026-08-25
Rosalie Salvame,,Palawan–1st,house,wikipedia,NA,2026-08-25
Jose Alvarez,,Palawan–2nd,house,wikipedia,NA,2026-08-25
Gil Acosta Jr.,,Palawan–3rd,house,wikipedia,NA,2026-08-25
Carmelo Lazatin Jr.,,Pampanga–1st,house,wikipedia,NA,2026-08-25
Gloria Macapagal Arroyo,,Pampanga–2nd,house,wikipedia,NA,2026-08-25
Mica Gonzales,,Pampanga–3rd,house,wikipedia,NA,2026-08-25
Anna York Bondoc,,Pampanga–4th,house,wikipedia,NA,2026-08-25
